invoiceNumber,savedAt,customerEmail,transactionId,subtotal,taxRate,taxAmount,total,taxSource,shipLine1,shipLine2,shipCity,shipState,shipZip,shipCountry,itemCount,items,redisKey
MC-1772427628215,,,,127.2,0,0,127.2,non-il,123 Main St,,San Francisco,CA,94105,US,1,XB-2R BALLHEAD x1,order:MC-1772427628215
MC-1772434922855,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434922855
MC-1772457771147,,,,127.2,0.09,11.45,138.65,redis:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772457771147
MC-1772435052512,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435052512
MC-1772435057503,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435057503
MC-1772435053488,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435053488
MC-1772431863301,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772431863301
MC-1772433901986,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772433901986
MC-1772434920800,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434920800
MC-1772429555534,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772429555534
MC-1772457625384,,,,127.2,0.09,11.45,138.65,redis:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772457625384
MC-1772435051465,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435051465
MC-1772434923809,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434923809
MC-1772435060558,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435060558
MC-1772433858300,,,,127.2,0.0625,7.95,135.15,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,XB-2R BALLHEAD x1,order:MC-1772433858300
MC-1772434919809,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434919809
